chrom_zdna,zdna_start,zdna_end,score,chrom_promoter,promoter_start,promoter_end,gene_symbol,strand,gene_name
NC_043022.1,19612411,19612465,81.0,NC_043022.1,19612424,19613423,LOC115224863,+,cytochrome P450 3A8
NC_043022.1,20181043,20181059,24.0,NC_043022.1,20181052,20182051,LOC115224864,+,"E3 ubiquitin-protein ligase MIB2-like, transcript variant X1"
NC_043022.1,20321356,20321369,19.5,NC_043022.1,20321366,20322365,LOC118768023,-,uncharacterized LOC118768023
NC_043022.1,133382,133403,31.5,NC_043022.1,132636,133635,LOC115224653,+,"leucine-rich repeat-containing protein 4-like, transcript variant X3"
NC_043022.1,133404,133418,21.0,NC_043022.1,132636,133635,LOC115224653,+,"leucine-rich repeat-containing protein 4-like, transcript variant X3"
NC_043022.1,133419,133430,16.5,NC_043022.1,132636,133635,LOC115224653,+,"leucine-rich repeat-containing protein 4-like, transcript variant X3"
NC_043022.1,133497,133511,43.0,NC_043022.1,132636,133635,LOC115224653,+,"leucine-rich repeat-containing protein 4-like, transcript variant X3"
NC_043022.1,163355,163367,40.0,NC_043022.1,163091,164090,LOC115224654,+,fibulin-1-like
NC_043022.1,164080,164094,21.0,NC_043022.1,163091,164090,LOC115224654,+,fibulin-1-like
NC_043022.1,191245,191259,65.0,NC_043022.1,190583,191582,LOC118768002,+,"signal peptide, CUB and EGF-like domain-containing protein 2"
NC_043022.1,191342,191361,28.5,NC_043022.1,190583,191582,LOC118768002,+,"signal peptide, CUB and EGF-like domain-containing protein 2"
NC_043022.1,191432,191446,43.0,NC_043022.1,190583,191582,LOC118768002,+,"signal peptide, CUB and EGF-like domain-containing protein 2"
NC_043022.1,191448,191472,36.0,NC_043022.1,190583,191582,LOC118768002,+,"signal peptide, CUB and EGF-like domain-containing protein 2"
NC_043022.1,272456,272470,43.0,NC_043022.1,271740,272739,LOC115224655,-,"fibulin-2-like, transcript variant X1"
NC_043022.1,272576,272602,39.0,NC_043022.1,271740,272739,LOC115224655,-,"fibulin-2-like, transcript variant X1"
NC_043022.1,431152,431165,52.5,NC_043022.1,430673,431672,LOC115224804,-,"golgin subfamily A member 3-like, transcript variant X5"
NC_043022.1,431239,431251,18.0,NC_043022.1,430673,431672,LOC115224804,-,"golgin subfamily A member 3-like, transcript variant X5"
NC_043022.1,431359,431371,18.0,NC_043022.1,430673,431672,LOC115224804,-,"golgin subfamily A member 3-like, transcript variant X5"
NC_043022.1,431396,431428,70.0,NC_043022.1,430673,431672,LOC115224804,-,"golgin subfamily A member 3-like, transcript variant X5"
NC_043022.1,616854,616870,90.0,NC_043022.1,616280,617279,LOC115224846,+,"G protein-coupled receptor kinase 1, transcript variant X1"
NC_043022.1,617212,617227,44.5,NC_043022.1,616280,617279,LOC115224846,+,"G protein-coupled receptor kinase 1, transcript variant X1"
NC_043022.1,1288271,1288282,27.5,NC_043022.1,1287904,1288903,LOC115224657,-,profilin-like
NC_043022.1,1288800,1288812,18.0,NC_043022.1,1287904,1288903,LOC115224657,-,profilin-like
NC_043022.1,1406407,1406435,42.0,NC_043022.1,1406249,1407248,LOC118767982,-,uncharacterized LOC118767982
NC_043022.1,1406540,1406564,36.0,NC_043022.1,1406249,1407248,LOC118767982,-,uncharacterized LOC118767982
NC_043022.1,1406572,1406585,19.5,NC_043022.1,1406249,1407248,LOC118767982,-,uncharacterized LOC118767982
NC_043022.1,1407021,1407041,30.0,NC_043022.1,1406249,1407248,LOC118767982,-,uncharacterized LOC118767982
NC_043022.1,1480380,1480394,21.0,NC_043022.1,1480179,1481178,LOC118767981,+,uncharacterized LOC118767981
NC_043022.1,1480413,1480427,21.0,NC_043022.1,1480179,1481178,LOC118767981,+,uncharacterized LOC118767981
NC_043022.1,1480449,1480461,18.0,NC_043022.1,1480179,1481178,LOC118767981,+,uncharacterized LOC118767981
NC_043022.1,1480475,1480487,18.0,NC_043022.1,1480179,1481178,LOC118767981,+,uncharacterized LOC118767981
NC_043022.1,1950926,1950948,33.0,NC_043022.1,1950544,1951543,LOC115224658,+,protein TsetseEP-like
NC_043022.1,2088482,2088494,40.0,NC_043022.1,2088401,2089400,LOC115224659,+,clumping factor B-like
NC_043022.1,2143220,2143234,21.0,NC_043022.1,2142250,2143249,LOC118767997,-,uncharacterized LOC118767997
NC_043022.1,2147057,2147071,21.0,NC_043022.1,2146134,2147133,LOC115224660,-,protein unc-93 homolog A-like
NC_043022.1,2147075,2147093,93.0,NC_043022.1,2146134,2147133,LOC115224660,-,protein unc-93 homolog A-like
NC_043022.1,2147095,2147109,21.0,NC_043022.1,2146134,2147133,LOC115224660,-,protein unc-93 homolog A-like
NC_043022.1,2560263,2560277,21.0,NC_043022.1,2560182,2561181,LOC118768030,+,uncharacterized LOC118768030
NC_043022.1,2561063,2561077,43.0,NC_043022.1,2560182,2561181,LOC118768030,+,uncharacterized LOC118768030
NC_043022.1,3127409,3127421,40.0,NC_043022.1,3126647,3127646,LOC115224812,+,"RUS family member 1, transcript variant X5"
NC_043022.1,3127427,3127438,16.5,NC_043022.1,3126647,3127646,LOC115224812,+,"RUS family member 1, transcript variant X5"
NC_043022.1,3127561,3127572,27.5,NC_043022.1,3126647,3127646,LOC115224812,+,"RUS family member 1, transcript variant X5"
NC_043022.1,3127595,3127612,36.5,NC_043022.1,3126647,3127646,LOC115224812,+,"RUS family member 1, transcript variant X5"
NC_043022.1,3127561,3127572,27.5,NC_043022.1,3127554,3128553,LOC118767970,-,uncharacterized LOC118767970
NC_043022.1,3127595,3127612,36.5,NC_043022.1,3127554,3128553,LOC118767970,-,uncharacterized LOC118767970
NC_043022.1,3128036,3128053,36.5,NC_043022.1,3127554,3128553,LOC118767970,-,uncharacterized LOC118767970
NC_043022.1,3633448,3633462,21.0,NC_043022.1,3633400,3634399,LOC115224713,+,"replication factor C subunit 5, transcript variant X1"
NC_043022.1,3633982,3634006,58.0,NC_043022.1,3633400,3634399,LOC115224713,+,"replication factor C subunit 5, transcript variant X1"
NC_043022.1,3799194,3799220,39.0,NC_043022.1,3799117,3800116,LOC118768029,+,uncharacterized LOC118768029
NC_043022.1,3800105,3800134,43.5,NC_043022.1,3799117,3800116,LOC118768029,+,uncharacterized LOC118768029
NC_043022.1,3894483,3894495,18.0,NC_043022.1,3893827,3894826,LOC115224820,-,peroxisome biogenesis factor 2
NC_043022.1,3940448,3940469,97.5,NC_043022.1,3939601,3940600,LOC115224722,-,tripartite motif-containing protein 44-like
NC_043022.1,3940480,3940500,30.0,NC_043022.1,3939601,3940600,LOC115224722,-,tripartite motif-containing protein 44-like
NC_043022.1,3940519,3940533,54.0,NC_043022.1,3939601,3940600,LOC115224722,-,tripartite motif-containing protein 44-like
NC_043022.1,4005172,4005184,29.0,NC_043022.1,4004909,4005908,LOC115224790,-,NIF3-like protein 1
NC_043022.1,4005172,4005184,29.0,NC_043022.1,4005054,4006053,LOC115224805,+,"mitotic spindle assembly checkpoint protein MAD2B, transcript variant X3"
NC_043022.1,4045906,4045922,24.0,NC_043022.1,4045002,4046001,LOC115224861,-,"UPF0545 protein C22orf39 homolog, transcript variant X1"
NC_043022.1,5126102,5126115,19.5,NC_043022.1,5125654,5126653,LOC118767989,-,uncharacterized LOC118767989
NC_043022.1,5126255,5126267,18.0,NC_043022.1,5125654,5126653,LOC118767989,-,uncharacterized LOC118767989
NC_043022.1,5249015,5249031,24.0,NC_043022.1,5248585,5249584,Trnap-cgg,-,tRNA-Pro
NC_043022.1,5249036,5249057,42.5,NC_043022.1,5248585,5249584,Trnap-cgg,-,tRNA-Pro
NC_043022.1,5249080,5249099,61.5,NC_043022.1,5248585,5249584,Trnap-cgg,-,tRNA-Pro
NC_043022.1,5358744,5358760,68.0,NC_043022.1,5358712,5359711,LOC115224866,-,"von Willebrand factor A domain-containing protein 3B-like, transcript variant X1"
NC_043022.1,5358839,5358863,36.0,NC_043022.1,5358712,5359711,LOC115224866,-,"von Willebrand factor A domain-containing protein 3B-like, transcript variant X1"
NC_043022.1,5359468,5359486,27.0,NC_043022.1,5358712,5359711,LOC115224866,-,"von Willebrand factor A domain-containing protein 3B-like, transcript variant X1"
NC_043022.1,5359529,5359542,19.5,NC_043022.1,5358712,5359711,LOC115224866,-,"von Willebrand factor A domain-containing protein 3B-like, transcript variant X1"
NC_043022.1,5429899,5429911,18.0,NC_043022.1,5429412,5430411,LOC118767995,+,"uncharacterized LOC118767995, transcript variant X1"
NC_043022.1,5429921,5429950,43.5,NC_043022.1,5429412,5430411,LOC118767995,+,"uncharacterized LOC118767995, transcript variant X1"
NC_043022.1,5507376,5507392,24.0,NC_043022.1,5507002,5508001,LOC115224860,-,uncharacterized LOC115224860
NC_043022.1,5703247,5703274,51.5,NC_043022.1,5702325,5703324,LOC118768021,+,uncharacterized LOC118768021
NC_043022.1,5703280,5703300,30.0,NC_043022.1,5702325,5703324,LOC118768021,+,uncharacterized LOC118768021
NC_043022.1,5703306,5703318,18.0,NC_043022.1,5702325,5703324,LOC118768021,+,uncharacterized LOC118768021
NC_043022.1,5868375,5868393,27.0,NC_043022.1,5867954,5868953,LOC115224716,+,"rap1 GTPase-activating protein 1, transcript variant X6"
NC_043022.1,5868451,5868472,31.5,NC_043022.1,5867954,5868953,LOC115224716,+,"rap1 GTPase-activating protein 1, transcript variant X6"
NC_043022.1,6016900,6016952,78.0,NC_043022.1,6016882,6017881,LOC118768031,-,uncharacterized LOC118768031
