# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	259763	260263	-					LOC115214395	115214395		501		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	259763	260263	-	XM_029783594.1		XP_029639454.1	uncharacterized LOC115214395	LOC115214395	115214395		405	405	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	259763	260263	-	XP_029639454.1		XM_029783594.1	uncharacterized protein LOC115214395	LOC115214395	115214395		405	134	
gene	pseudogene	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	1451649	1451767	+					LOC115220859	115220859		119		pseudo
gene	tRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2502467	2502558	+					Trnak-uuu	115221612		92		
tRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2502467	2502558	+				tRNA-Lys	Trnak-uuu	115221612		73		anticodon=TTT
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520268	3052735	-					LOC115219228	115219228		532468		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520268	3052735	-	XM_036507825.1		XP_036363718.1	uncharacterized LOC115219228, transcript variant X2	LOC115219228	115219228		2979	2979	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520268	3041629	-	XM_029789367.2		XP_029645227.1	uncharacterized LOC115219228, transcript variant X4	LOC115219228	115219228		2890	2890	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520268	3041629	-	XM_036507795.1		XP_036363688.1	uncharacterized LOC115219228, transcript variant X1	LOC115219228	115219228		2924	2924	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520268	3041629	-	XM_036507870.1		XP_036363763.1	uncharacterized LOC115219228, transcript variant X3	LOC115219228	115219228		3000	3000	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520268	2740059	-	XM_036507971.1		XP_036363864.1	uncharacterized LOC115219228, transcript variant X5	LOC115219228	115219228		2614	2614	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520468	2546554	-	XP_029645227.1		XM_029789367.2	uncharacterized protein LOC115219228	LOC115219228	115219228		1989	662	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520468	2546554	-	XP_036363688.1		XM_036507795.1	uncharacterized protein LOC115219228	LOC115219228	115219228		1989	662	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520468	2546554	-	XP_036363718.1		XM_036507825.1	uncharacterized protein LOC115219228	LOC115219228	115219228		1989	662	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520468	2546554	-	XP_036363763.1		XM_036507870.1	uncharacterized protein LOC115219228	LOC115219228	115219228		1989	662	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2520468	2546554	-	XP_036363864.1		XM_036507971.1	uncharacterized protein LOC115219228	LOC115219228	115219228		1989	662	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2779873	2808759	+					LOC118765644	118765644		28887		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	2779873	2808759	+	XR_005001513.1			uncharacterized LOC118765644	LOC118765644	118765644		151	151	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	3796917	3797363	-					LOC115215663	115215663		447		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	3796917	3797363	-	XM_029784927.1		XP_029640787.1	uncharacterized LOC115215663	LOC115215663	115215663		447	447	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	3796917	3797363	-	XP_029640787.1		XM_029784927.1	uncharacterized protein LOC115215663	LOC115215663	115215663		447	148	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	3918691	3934449	-					LOC118766134	118766134		15759		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	3918691	3934449	-	XR_005002048.1			uncharacterized LOC118766134	LOC118766134	118766134		236	236	
gene	pseudogene	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	3952994	3953112	+					LOC115220791	115220791		119		pseudo
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	4583818	4595264	-					LOC118766142	118766142		11447		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	4583818	4595264	-	XR_005002055.1			uncharacterized LOC118766142	LOC118766142	118766142		143	143	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	4879270	4918690	+					LOC115216793	115216793		39421		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	4879270	4918690	+	XM_029786374.2		XP_029642234.1	cysteine-rich venom protein Mr30-like	LOC115216793	115216793		1215	1215	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	4879281	4918368	+	XP_029642234.1		XM_029786374.2	cysteine-rich venom protein Mr30-like	LOC115216793	115216793		882	293	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5337086	5569274	-					LOC115219520	115219520		232189		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5337086	5431170	-	XM_029789702.2		XP_029645562.1	uncharacterized LOC115219520, transcript variant X4	LOC115219520	115219520		2546	2546	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5360901	5569274	-	XM_036508086.1		XP_036363979.1	uncharacterized LOC115219520, transcript variant X2	LOC115219520	115219520		2881	2881	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5360901	5431170	-	XM_036508075.1		XP_036363968.1	uncharacterized LOC115219520, transcript variant X1	LOC115219520	115219520		2868	2868	
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5360901	5431145	-	XM_036508135.1		XP_036364028.1	uncharacterized LOC115219520, transcript variant X3	LOC115219520	115219520		2933	2933	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5361486	5375291	-	XP_029645562.1		XM_029789702.2	uncharacterized protein LOC115219520	LOC115219520	115219520		1926	641	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5361486	5375291	-	XP_036363968.1		XM_036508075.1	uncharacterized protein LOC115219520	LOC115219520	115219520		1926	641	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5361486	5375291	-	XP_036363979.1		XM_036508086.1	uncharacterized protein LOC115219520	LOC115219520	115219520		1926	641	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5361486	5375291	-	XP_036364028.1		XM_036508135.1	uncharacterized protein LOC115219520	LOC115219520	115219520		1926	641	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5725636	5893239	-					LOC118766146	118766146		167604		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	5725636	5893239	-	XR_005002056.1			uncharacterized LOC118766146	LOC118766146	118766146		192	192	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	6132991	6851674	-					LOC118765769	118765769		718684		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	6132991	6851674	-	XR_005001649.1			uncharacterized LOC118765769	LOC118765769	118765769		1453	1453	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	6939260	6954522	-					LOC118766147	118766147		15263		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	6939260	6954522	-	XR_005002057.1			uncharacterized LOC118766147	LOC118766147	118766147		148	148	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	7631094	7657929	-					LOC118766148	118766148		26836		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	7631094	7657929	-	XR_005002058.1			uncharacterized LOC118766148	LOC118766148	118766148		180	180	
gene	protein_coding	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	7825238	7825660	-					LOC115216580	115216580		423		
mRNA		GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	7825238	7825660	-	XM_029786049.1		XP_029641909.1	uncharacterized LOC115216580	LOC115216580	115216580		423	423	
CDS	with_protein	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	7825238	7825660	-	XP_029641909.1		XM_029786049.1	uncharacterized protein LOC115216580	LOC115216580	115216580		423	140	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	8334926	8356788	+					LOC118766149	118766149		21863		
ncRNA	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	8334926	8356788	+	XR_005002059.1			uncharacterized LOC118766149	LOC118766149	118766149		103	103	
gene	lncRNA	GCF_006345805.1	Primary Assembly	linkage group	LG1	NC_042997.1	8645074	8654646	-					LOC118766150	118766150		9573		
