chrom_zdna,zdna_start,zdna_end,score,chrom_promoter,promoter_start,promoter_end,gene_symbol,strand,gene_name
NC_043010.1,67506953,67507040,526.5,NC_043010.1,67506486,67507485,LOC118766039,-,uncharacterized LOC118766039
NC_043003.1,27803275,27803406,680.5,NC_043003.1,27802819,27803818,LOC115214019,-,uncharacterized LOC115214019
NC_043014.1,14301181,14301357,1155.0,NC_043014.1,14301128,14302127,LOC115221623,+,"galactosylceramide sulfotransferase-like, transcript variant X1"
NC_042997.1,183687631,183687698,474.5,NC_042997.1,183686936,183687935,LOC115218751,-,"testis-specific serine/threonine-protein kinase 6-like, transcript variant X2"
NC_042998.1,156589991,156590116,616.5,NC_042998.1,156589077,156590076,LOC118762079,+,uncharacterized LOC118762079
NC_043007.1,41062258,41062365,732.5,NC_043007.1,41061420,41062419,LOC115217605,+,organic cation transporter protein-like
NC_043013.1,23687772,23687857,567.5,NC_043013.1,23687056,23688055,LOC115220919,+,A disintegrin and metalloproteinase with thrombospondin motifs 1
NC_043002.1,47167384,47167504,664.0,NC_043002.1,47166731,47167730,LOC115213476,+,uncharacterized LOC115213476
NC_043006.1,41029285,41029355,457.0,NC_043006.1,41028656,41029655,LOC118765107,-,uncharacterized LOC118765107
NC_043005.1,793941,794063,513.0,NC_043005.1,793801,794800,LOC118764748,-,uncharacterized LOC118764748
NC_043018.1,12817063,12817163,535.0,NC_043018.1,12816152,12817151,LOC115223316,+,E3 ubiquitin-protein ligase RNF4
NC_043018.1,13023213,13023325,432.0,NC_043018.1,13023144,13024143,LOC115223258,-,"solute carrier family 49 member A3, transcript variant X1"
